epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,4475.72,1.2683,0.56185,0.85458,0.92415,0.66829,0.76744,0.30278,2.19465,0.90183,1.13456,0.0002444,0.0002444,0.0002444
135,4508.96,1.24245,0.55035,0.85541,0.92473,0.67393,0.7699,0.30407,2.2155,0.8926,1.14095,0.0002312,0.0002312,0.0002312
136,4542.12,1.20823,0.55062,0.85119,0.9049,0.69198,0.77022,0.29896,2.21188,0.89493,1.13161,0.000218,0.000218,0.000218
137,4575.24,1.21303,0.53951,0.86298,0.91557,0.68637,0.75986,0.30019,2.18603,0.88188,1.12901,0.0002048,0.0002048,0.0002048
138,4608.24,1.24989,0.54835,0.86079,0.91482,0.67975,0.7541,0.2964,2.20696,0.86948,1.14638,0.0001916,0.0001916,0.0001916
139,4641.46,1.23551,0.54822,0.85022,0.93014,0.67511,0.76125,0.29944,2.19314,0.88336,1.14137,0.0001784,0.0001784,0.0001784
140,4674.54,1.26041,0.56103,0.86478,0.93048,0.67768,0.76901,0.30514,2.19866,0.87093,1.14975,0.0001652,0.0001652,0.0001652
141,4708.53,1.19588,0.52834,0.87322,0.92363,0.67511,0.75522,0.29696,2.20791,0.8838,1.14823,0.000152,0.000152,0.000152
142,4741.83,1.1638,0.51561,0.86165,0.91617,0.67089,0.74617,0.29942,2.20532,0.90938,1.14345,0.0001388,0.0001388,0.0001388
143,4774.84,1.16318,0.50573,0.85889,0.91525,0.66245,0.74119,0.29511,2.20889,0.91029,1.14385,0.0001256,0.0001256,0.0001256
144,4807.91,1.15025,0.51,0.85904,0.92197,0.66245,0.74768,0.29757,2.21772,0.9108,1.14416,0.0001124,0.0001124,0.0001124
145,4840.94,1.14675,0.50557,0.86158,0.92295,0.67932,0.76703,0.3003,2.21314,0.89278,1.14968,9.92e-05,9.92e-05,9.92e-05
146,4873.89,1.15235,0.49501,0.86483,0.89173,0.69501,0.76655,0.30574,2.19719,0.89558,1.14121,8.6e-05,8.6e-05,8.6e-05
147,4906.93,1.15469,0.50933,0.86412,0.92006,0.67987,0.76537,0.30479,2.19595,0.89741,1.13784,7.28e-05,7.28e-05,7.28e-05
148,4940.01,1.13625,0.51068,0.85563,0.90509,0.68401,0.75844,0.30561,2.19928,0.8926,1.13803,5.96e-05,5.96e-05,5.96e-05
149,4972.98,1.11718,0.49341,0.85864,0.9112,0.67932,0.75647,0.3034,2.19313,0.89657,1.13377,4.64e-05,4.64e-05,4.64e-05
150,5005.96,1.12467,0.49439,0.8536,0.90934,0.67932,0.75815,0.30428,2.19898,0.89127,1.14018,3.32e-05,3.32e-05,3.32e-05
